DATASET_MULTIBAR
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,Per experiment bar chart

#dataset color (can be changed later)
COLOR,#ff0000

FIELD_COLORS,#88508c,#c993b4,#d6a29d,#c4b662,#8d7d6b,#9fab4d,#171c21,#9e938c,#b397c0,#c3c3c2,#c7becd
FIELD_LABELS,Chemosensory Death,Chemosensory Food,Hyperoxia,Hypoxia,Osmoregulation,UV0,UV15D,UV15L,UV24D,UV24L,Visible Light


#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
#Species,CD,CF,Hyper,Hypo,OR,UV0,UV15D,UV15L,UV24D,UV24L,VL
C. elegans,70.39,75.31,44.49,40.88,66.87,34.85,74.66,21.44,53.39,75.72,37.11
A. marina,47.6,89.08,32.09,31.32,11.63,2.6,63.0,59.98,37.04,38.24,76.15
E. andrei,46.66,43.35,42.65,48.76,61.8,23.81,17.16,16.06,75.14,64.39,46.92
H. medicinalis,55.75,62.53,69.94,52.47,25.45,43.15,32.24,23.93,20.18,48.85,85.06
L. chalicophora,0.0,61.71,53.58,29.56,28.5,0.0,38.1,0.0,66.81,0.6,0.45
L. marina,85.51,65.25,13.14,86.6,10.29,10.44,93.51,15.68,61.57,56.95,60.88
L. oceanica,14.0,6.44,93.34,10.22,0.42,26.3,46.93,30.85,0.0,9.47,56.85
O. nungara,1.25,1.46,95.61,91.54,3.16,0.0,2.52,1.56,0.31,23.44,19.71
P. acuta,35.4,22.86,50.83,42.03,7.94,9.37,16.74,13.99,43.83,41.42,59.25
P. aurorbis,0.0,0.0,54.58,19.37,0.0,61.18,0.4,10.07,8.06,0.0,65.48
P. laevis,52.38,65.27,42.0,34.84,57.25,47.42,18.6,54.16,22.48,18.69,27.99
P. turbinatus,14.93,13.78,5.24,17.05,4.79,55.61,46.97,52.62,34.19,45.04,77.73
S. mediterranea,28.24,0.99,79.05,13.57,16.2,87.56,82.28,84.11,23.42,82.28,6.35
S. pectinata,57.51,38.91,41.43,10.39,40.75,29.58,61.96,63.95,27.22,30.42,57.76
T. pisana,71.9,82.96,10.2,88.69,94.42,19.35,2.36,28.06,7.12,46.15,7.56
T. melanocephalum,15.43,8.84,6.0,7.74,43.72,4.67,49.61,10.65,49.03,48.89,27.79
