Species,N974,N976,N978,N981,N983,N984,N986,N989,N992,N996,N1002,Path_N1002_to_Phylum_Sum,Phylum,Path_Phylum_to_Species_Sum,Species
CELE,48.88,7.07,2.8,1.81,3.09,3.82,0.92,2.15,2.8,2.98,6.26,7.61,0.79,8.15,0.89
COCO,52.4,8.97,3.73,2.52,4.04,5.05,1.16,3.27,3.45,3.86,3.86,2.6900000000000004,0.24,3.6400000000000006,1.14
EAND,44.32,8.8,4.2,2.45,4.47,4.81,1.37,3.33,3.72,3.65,5.42,2.72,0.11,8.42,2.22
HMED,48.7,8.41,3.19,2.25,3.85,4.59,0.86,2.51,3.4,3.02,13.23,0.9500000000000001,0.05,3.2700000000000005,1.73
LEPN,48.82,8.76,4.21,2.3,4.25,5.18,1.25,2.89,3.3,3.32,4.52,2.51,0.46,4.2700000000000005,3.98
LMAR,48.34,7.06,2.45,1.65,2.85,3.47,0.76,2.01,2.6,3.1,6.53,7.430000000000001,0.54,9.879999999999999,1.33
MISO,56.15,7.22,2.3,1.69,3.42,3.94,0.75,2.36,3.25,4.11,5.28,0.42000000000000004,0.28,7.550000000000001,1.28
ONUN,46.97,8.55,3.83,1.85,3.7,3.83,0.94,2.12,3.29,2.2,5.22,2.6700000000000004,0.02,13.299999999999997,1.5
PACU,42.94,8.53,4.42,2.29,4.33,5.5,1.31,3.42,3.78,3.76,5.33,2.5700000000000003,0.49,9.319999999999997,2.02
PEAU,50.28,7.98,3.57,1.97,4.36,5.22,1.12,3.3,3.04,3.54,4.3,1.72,4.77,2.51,2.33
PLAE,48.28,7.05,2.4,1.98,3.81,4.74,0.73,2.34,3.77,4.83,6.1,0.39,0.77,11.020000000000001,1.76
PTUR,43.89,8.34,4.06,2.43,4.5,5.03,1.12,3.94,3.69,4.0,6.27,2.88,0.57,7.6899999999999995,1.6
SMED,46.64,8.24,3.63,1.8,3.6,3.83,0.91,2.0,3.1,1.77,5.54,3.3499999999999996,0.06,15.01,0.52
SPEC,54.53,8.74,4.26,2.21,3.76,4.23,1.4,2.64,2.43,2.08,3.42,1.75,0.31,7.86,0.37
TPIS,52.55,7.46,3.18,1.88,3.8,3.03,1.06,1.83,2.36,1.97,3.75,2.46,0.29,12.31,2.07
TETR,40.17,8.0,3.91,2.81,5.27,5.38,1.47,3.88,4.26,4.31,4.69,3.41,0.62,10.27,1.5699999999999998
