Species,N974,N976,N978,N981,N983,N984,N986,N989,N992,N996,N1002,Path_N1002_to_Phylum_Sum,Phylum,Path_Phylum_to_Species_Sum,Species
CELE,67.13,7.01,1.52,1.43,1.52,2.28,0.76,1.21,1.61,2.37,4.51,4.819999999999999,0.49,2.67,0.67
COCO,65.59,7.85,2.31,2.31,2.66,3.7,0.46,1.62,3.46,2.77,2.89,1.4000000000000004,0.23,1.39,1.39
EAND,51.71,8.56,2.4,2.4,2.74,3.77,1.71,3.77,3.42,4.45,4.79,3.08,0.0,5.119999999999999,2.05
HMED,64.49,8.15,1.81,1.27,2.54,2.72,0.54,1.45,3.26,1.45,8.33,0.9,0.0,1.08,1.99
LEPN,62.5,8.09,1.47,2.35,2.65,3.09,0.59,1.76,1.32,2.35,2.79,2.3600000000000003,0.59,3.68,4.41
LMAR,66.07,6.71,1.68,1.23,1.68,2.42,0.44,1.04,1.63,2.66,4.49,4.34,0.25,4.25,1.13
MISO,67.22,6.78,1.78,0.89,2.89,3.67,0.56,2.44,2.67,3.11,2.67,0.33,0.11,3.8699999999999997,1.0
ONUN,57.07,7.07,3.8,1.74,2.28,3.15,0.43,1.63,4.57,2.72,3.15,1.52,0.0,8.81,2.07
PACU,57.49,8.62,4.69,2.87,2.72,3.63,0.3,2.42,3.33,2.27,4.39,1.21,0.45,3.3099999999999996,2.27
PLAE,60.54,5.56,1.72,2.11,2.11,2.68,0.57,1.92,4.79,4.41,4.6,0.38,0.19,6.69,1.72
PTUR,56.74,6.74,2.95,1.97,3.79,4.21,0.56,2.11,4.49,3.09,5.34,1.8199999999999998,0.14,4.340000000000001,1.69
SMED,61.15,6.97,1.94,1.34,2.61,3.08,0.47,1.27,3.22,1.81,3.48,2.34,0.0,9.66,0.67
SPEC,64.32,7.48,3.02,2.3,2.73,2.16,0.72,1.29,3.17,2.59,3.02,1.73,0.14,4.6,0.72
TPIS,66.11,10.4,3.69,1.34,2.35,1.34,0.67,1.01,2.35,1.68,1.68,2.35,0.0,2.02,3.02
