CCFQ1_DN4592_c0_g1_i2.p1	GO:0006749, GO:0005576, GO:0004364
CCFQ1_DN2921_c0_g1_i7.p1	GO:0005789, GO:0046513, GO:0046514, GO:0070774, GO:0050291, GO:0032541, GO:0005783, GO:0030176
CCFQ1_DN9175_c0_g1_i1.p1	GO:0031965, GO:0016021, GO:0005634, GO:0005635, GO:0005515, GO:0007186
CCFQ1_DN16994_c0_g1_i1.p1	GO:0007165, GO:0060252, GO:0035633, GO:0031225, GO:0048018, GO:0005615, GO:0005886, GO:0045742, GO:0007157, GO:1903977
CCFQ1_DN13190_c0_g1_i1.p1	GO:0005634, GO:0005515, GO:0005829, GO:0051726
CCFQ1_DN36772_c0_g1_i1.p1	GO:0042627, GO:0045735, GO:0004857, GO:0034361, GO:0006629, GO:0043086
CCFQ1_DN41052_c0_g1_i1.p1	GO:0016020, GO:0016021, GO:0046740, GO:0008047
CCFQ1_DN41236_c0_g1_i1.p1	GO:0030430, GO:0003968, GO:0001172
CCFQ1_DN9295_c0_g1_i2.p1	GO:0016021, GO:0007165, GO:0016020, GO:0060326, GO:0008009
CCFQ1_DN4630_c0_g2_i1.p1	GO:0016021, GO:0033644, GO:0016020, GO:0030683, GO:0039503, GO:0005515
CCFQ1_DN7398_c0_g1_i1.p1	GO:0006693, GO:0036102, GO:2001302, GO:0005634, GO:0005829, GO:0016628, GO:0005737
CCFQ1_DN4676_c0_g1_i1.p1	GO:0048715, GO:0031175, GO:0005154, GO:0016021, GO:0043491, GO:0005615, GO:0005886, GO:0031012, GO:0021954
CCFQ1_DN7807_c0_g2_i1.p1	GO:0052828, GO:0005654, GO:0005634, GO:0043647, GO:0005886, GO:0055038, GO:0034597, GO:0036092, GO:0005515, GO:0007165, GO:0031901, GO:0017161, GO:0005768, GO:0031965, GO:0014069, GO:0005829, GO:0045202, GO:0005737, GO:0016316
CCFQ1_DN16045_c0_g2_i1.p2	GO:0051123, GO:0005634, GO:0005669, GO:0046695, GO:0003677, GO:0000124, GO:0046982, GO:0017025, GO:0006352
CCFQ1_DN29314_c0_g1_i1.p1	GO:0000132, GO:0051642, GO:0005856, GO:0008017, GO:0005871, GO:0051303, GO:0000776, GO:0005874, GO:0005737, GO:0007059, GO:0047496, GO:0007020
CCFQ1_DN18044_c0_g1_i1.p1	GO:0016573, GO:0004402, GO:0005634, GO:0000781, GO:0005515, GO:0033255, GO:0031509, GO:0000785
CCFQ1_DN4549_c0_g2_i3.p1	GO:0042025, GO:0006414, GO:0006412, GO:0039720, GO:0003677
CCFQ1_DN37639_c0_g1_i1.p1	GO:0042357, GO:0050355, GO:0016887, GO:0006772, GO:0005524, GO:0005737
CCFQ1_DN42977_c0_g1_i1.p1	GO:0036464, GO:0022625, GO:0044297, GO:0003735, GO:0006412, GO:0022626, GO:0030425
CCFQ1_DN23337_c0_g1_i1.p1	GO:0045040, GO:0070096, GO:0005739, GO:0001401, GO:0005741, GO:0030150, GO:0005515
CCFQ1_DN42687_c0_g1_i1.p1	GO:0038023, GO:0042043, GO:0097105, GO:0009986, GO:0007268, GO:0030424, GO:0097104, GO:0098793, GO:0005887, GO:0007158, GO:0045202, GO:0005886, GO:0030425, GO:0048488, GO:0046929
CCFQ1_DN8537_c0_g1_i1.p1	GO:0031430, GO:0051015, GO:0005739, GO:0006936, GO:0045214, GO:0032982, GO:0019900, GO:0005737, GO:0008307
CCFQ1_DN2920_c0_g1_i4.p1	GO:0071260, GO:0071397, GO:0021682, GO:0034453, GO:0046718, GO:0001954, GO:0005886, GO:0098696, GO:0014894, GO:0016021, GO:0002011, GO:0010717, GO:0098942, GO:0021675, GO:1904261, GO:0030336, GO:0060055, GO:0022011, GO:0005515, GO:0007568, GO:0050807, GO:0031643, GO:0014037, GO:0060445, GO:0014044, GO:0051898, GO:0006509, GO:0043403, GO:0016340, GO:0048714, GO:0010470, GO:0016203, GO:0043409, GO:0031103, GO:0043434, GO:0071711, GO:0060441, GO:0045860, GO:0071679, GO:0062023
CCFQ1_DN9550_c0_g1_i4.p1	GO:0042391, GO:0051146, GO:0007507, GO:0042383, GO:0016021, GO:0007519, GO:0030552
CCFQ1_DN290_c0_g2_i2.p1	GO:0000413, GO:0003755, GO:0005634, GO:0006457, GO:0005737
CCFQ1_DN33938_c0_g1_i1.p1	GO:0031298, GO:0043111, GO:0005634, GO:0006281, GO:0048478, GO:0003677, GO:0051321, GO:0000076
CCFQ1_DN19716_c0_g1_i1.p1	GO:0046890, GO:0005856, GO:0140496, GO:0005634, GO:0005829, GO:0005874, GO:0005737
CCFQ1_DN22539_c0_g1_i1.p1	GO:0098789, GO:0005849, GO:0005739, GO:0005634, GO:0005829, GO:0006378, GO:0072423, GO:0003729, GO:0005737
