PAVE1_DN73601_c0_g1_i1.p1	GO:0005634, GO:0051059, GO:0051092
PAVE1_DN6706_c0_g1_i2.p1	GO:0046872, GO:0017018, GO:0016021, GO:0000165, GO:0030148, GO:0007178, GO:0005789, GO:0070062, GO:0006470
PAVE1_DN2116_c0_g2_i4.p1	GO:0005886, GO:0032399, GO:0007283, GO:0007338
PAVE1_DN81849_c0_g1_i1.p1	GO:0035556, GO:0016021, GO:0005789, GO:0005886, GO:0016740, GO:0061809, GO:0005783, GO:0050135
PAVE1_DN10559_c2_g3_i1.p1	GO:0005886, GO:0008285, GO:0016021, GO:0005515
PAVE1_DN18929_c0_g1_i1.p2	GO:0005515, GO:0005634, GO:0006281, GO:0071480, GO:0005777, GO:0071465
PAVE1_DN2244_c0_g1_i2.p1	GO:0015491, GO:0016021, GO:0005773, GO:0055085, GO:0030001, GO:0005774
PAVE1_DN78479_c0_g1_i1.p1	GO:0030282, GO:0005634, GO:0005179, GO:0005576, GO:0005737, GO:0002076, GO:0032330, GO:0051428, GO:0007189
PAVE1_DN49602_c0_g1_i1.p1	GO:0060021, GO:1990130, GO:0005096, GO:0050790, GO:0038202, GO:0048738, GO:0005765, GO:0010508, GO:1904262, GO:0003281, GO:0005764, GO:0034198, GO:0035909
PAVE1_DN71072_c0_g1_i1.p1	GO:0000122, GO:0043433, GO:0010894, GO:0007283, GO:0030325, GO:0042803, GO:0005737, GO:0016922, GO:0019904, GO:0032448, GO:0008104, GO:0003714, GO:0008584, GO:0033144, GO:0003723
PAVE1_DN35802_c0_g1_i1.p1	GO:0016514, GO:0060979, GO:0005654, GO:0005634, GO:0045663, GO:2000781, GO:0000776, GO:0000785, GO:0016363, GO:0045582, GO:0003677, GO:0045893, GO:0006338, GO:0001890, GO:0006357, GO:0001825, GO:0003682, GO:0016586, GO:0005515, GO:0007507, GO:0060999, GO:2000819, GO:0001974, GO:0003349, GO:0060948, GO:0003007, GO:0008285, GO:0030071, GO:0070316, GO:2000045
PAVE1_DN3026_c1_g2_i2.p1	GO:0046718, GO:0001786, GO:0070287, GO:0016021, GO:0016020, GO:0044165, GO:0033005, GO:0006826, GO:0001618, GO:0006911, GO:0020002
PAVE1_DN15856_c0_g1_i1.p1	GO:0034446, GO:0046872, GO:0060485, GO:0098657, GO:0043113, GO:1905564, GO:0060385, GO:2000406, GO:0009986, GO:0033631, GO:0061032, GO:0072678, GO:0019960, GO:0060324, GO:2000353, GO:0043025, GO:0005178, GO:1903238, GO:0050901, GO:0140039, GO:1990138, GO:0034113, GO:0090074, GO:0003366, GO:0009897, GO:0060710, GO:0007507, GO:0005886, GO:0050904, GO:0001968, GO:0030426, GO:0001974, GO:0070062, GO:0007157, GO:1990405, GO:0016021, GO:0034669, GO:1904646, GO:0007229, GO:0005911, GO:1990771
PAVE1_DN21384_c0_g1_i1.p1	GO:0098703, GO:0016021, GO:0030315, GO:0005886, GO:0071313, GO:0008331, GO:0034765, GO:0005516, GO:1990454
PAVE1_DN9423_c1_g1_i1.p1	GO:0008171, GO:0106268, GO:0019438, GO:0032259, GO:0009274, GO:0005886
PAVE1_DN3237_c0_g1_i1.p1	GO:0008289, GO:0030122, GO:0016055, GO:0005905, GO:0035615, GO:0031410, GO:0005886, GO:0072583, GO:0006886
PAVE1_DN47110_c0_g1_i1.p1	GO:0007283, GO:0051015, GO:0030154, GO:0030036, GO:0007420, GO:0033150, GO:0032839, GO:0015629
PAVE1_DN68477_c0_g1_i1.p1	GO:0020037, GO:0046872, GO:0019825, GO:0005344, GO:0015671, GO:0005737, GO:0043204
PAVE1_DN13996_c0_g2_i1.p1	GO:0004519, GO:0005634, GO:0006278, GO:0003964, GO:0090305
PAVE1_DN74202_c0_g1_i1.p1	GO:0005515, GO:0071004, GO:0005634, GO:0030619, GO:0005730, GO:0000395, GO:0000398, GO:0005685
PAVE1_DN4315_c0_g1_i2.p1	GO:0099078, GO:0032418, GO:1904757, GO:0043015, GO:0016197, GO:0000930, GO:0031083
PAVE1_DN67723_c0_g1_i1.p1	GO:0033644, GO:0016021, GO:0005515, GO:0016020, GO:0030683, GO:0039503
PAVE1_DN3141_c0_g1_i7.p1	GO:0008270, GO:0048477, GO:0030154, GO:0008191, GO:0010033, GO:0007426, GO:0030425, GO:0031012, GO:0060232, GO:0042331, GO:0005576, GO:0007472, GO:0035202, GO:0071711, GO:0002020, GO:0007419, GO:0005615, GO:0010951, GO:0051045, GO:0048526, GO:0007155
PAVE1_DN11974_c0_g3_i2.p1	GO:0005737, GO:0008284, GO:0045596, GO:0045892, GO:0043066, GO:0019900
PAVE1_DN563_c0_g1_i1.p1	GO:0051287, GO:0030018, GO:0050661, GO:0005737, GO:0005829, GO:0006006, GO:0004365, GO:0035605, GO:0006096, GO:0031430
PAVE1_DN2338_c1_g4_i1.p1	GO:0008270, GO:0001894, GO:0005634, GO:0045862, GO:0031369, GO:0005863, GO:1903886, GO:0006511, GO:0003723, GO:0032897, GO:0061630, GO:0051155, GO:0043130, GO:0043621, GO:0005737, GO:0010508, GO:0007014, GO:0030335, GO:0045893, GO:1903265, GO:0051092, GO:0061564, GO:0044790, GO:0048147, GO:0045732, GO:0003713, GO:0045444, GO:0042802, GO:1902173, GO:0050769, GO:0017022, GO:0010994, GO:1902230, GO:0046716, GO:1903883, GO:0070936, GO:0045666, GO:0043123, GO:0045087, GO:0034612, GO:0009411, GO:0030307, GO:0045787
PAVE1_DN36370_c0_g1_i1.p1	GO:0046872, GO:0005515, GO:0005768, GO:0031901, GO:0035091, GO:0030133, GO:0015031, GO:0005783
PAVE1_DN11824_c0_g1_i3.p1	GO:0016021, GO:0006979, GO:0010181, GO:0050660, GO:0005789, GO:0050661, GO:0005737, GO:0005829, GO:0009698, GO:0003958, GO:0005783
PAVE1_DN5119_c0_g1_i1.p1	GO:0042129, GO:0005615, GO:0050830, GO:0005125, GO:0005164, GO:0045944, GO:0007165, GO:0007267, GO:0005886, GO:0043374, GO:0006955, GO:0005887
PAVE1_DN2892_c0_g2_i1.p1	GO:0005856, GO:0040001, GO:0000281, GO:0072686, GO:0005874, GO:0005634, GO:0008017, GO:0051321, GO:0005737, GO:0005730, GO:0051301, GO:0003677, GO:0007076
PAVE1_DN24344_c0_g2_i1.p1	GO:0072686, GO:0015630, GO:0005516, GO:0019899, GO:0005654, GO:0001750, GO:0005737, GO:0060271, GO:0005813, GO:0048496, GO:0045171, GO:0005929, GO:0032391, GO:0045494
PAVE1_DN19382_c0_g2_i1.p1	GO:0030317, GO:0007283, GO:0005515, GO:0005634, GO:0005737, GO:1903568
PAVE1_DN13219_c0_g2_i1.p1	GO:0004725, GO:0006470, GO:0030430
PAVE1_DN80492_c0_g1_i1.p1	GO:0005856, GO:0050790, GO:0016020, GO:0005737, GO:0000159, GO:0019888
PAVE1_DN9053_c0_g1_i1.p1	GO:0016021, GO:0016020, GO:0016042, GO:0102077, GO:0103073
PAVE1_DN21727_c0_g1_i1.p1	GO:0006914, GO:0010506, GO:0005515, GO:0031902, GO:0005768, GO:0005765, GO:0035658, GO:0005764
PAVE1_DN449_c0_g1_i3.p1	GO:0005634, GO:0006281, GO:1902275, GO:0030838, GO:0005694, GO:0003723, GO:0001933, GO:0043621, GO:0030707, GO:0005730, GO:0051101, GO:0046982, GO:0070087, GO:0005705, GO:0005829, GO:0006260, GO:0035101, GO:0005703, GO:0031492
PAVE1_DN67862_c0_g1_i1.p1	GO:0030674, GO:0002218, GO:0008270, GO:0005654, GO:0019901, GO:0061630, GO:0005737, GO:0010508, GO:0045893, GO:0031664, GO:0051092, GO:0046597, GO:0070534, GO:0044790, GO:1990462, GO:0003713, GO:0032880, GO:0042803, GO:0043410, GO:0038187, GO:0006914, GO:0000932, GO:0043123, GO:0045087, GO:0005829
PAVE1_DN25771_c0_g1_i2.p1	GO:0016233, GO:0000781, GO:0005634, GO:0042162, GO:0000782, GO:0005694, GO:0000775
PAVE1_DN27252_c0_g1_i1.p1	GO:0090069, GO:0006364, GO:0003676, GO:0005634, GO:0042254, GO:0005730, GO:0042127
PAVE1_DN28388_c0_g1_i1.p1	GO:0015293, GO:0055085, GO:0015718, GO:0008028, GO:0005886, GO:0005887
PAVE1_DN8811_c0_g1_i4.p1	GO:0005856, GO:0005815, GO:0046601, GO:0048133, GO:0005737, GO:0010825, GO:0005814, GO:0019894, GO:0019900
PAVE1_DN37998_c0_g1_i1.p1	GO:0098609, GO:0016021, GO:0098641, GO:2000648, GO:0045944, GO:0048863, GO:2000048, GO:0023019, GO:0005923, GO:0016328, GO:0005886, GO:0016323, GO:0009986, GO:0016324, GO:0070062, GO:0001657, GO:0044877
PAVE1_DN381_c0_g1_i2.p1	GO:0000747, GO:0000281, GO:0005515, GO:0110085, GO:0005634, GO:1903478, GO:1904600, GO:0070648, GO:0005829
PAVE1_DN11126_c0_g1_i4.p1	GO:0005515, GO:0005634, GO:0031124, GO:0030687, GO:0005737, GO:0003723
PAVE1_DN46559_c0_g1_i1.p1	GO:0005515, GO:0034244, GO:0005634, GO:0005741, GO:0048863, GO:0005737, GO:0005829, GO:2000737, GO:0008283, GO:0032021, GO:0003723
PAVE1_DN57353_c0_g1_i1.p1	GO:0005515, GO:0000722, GO:0005634, GO:0000408, GO:0002949, GO:0005737, GO:0005829
PAVE1_DN13407_c0_g2_i1.p1	GO:0008140, GO:0005634, GO:0045944, GO:0032793, GO:0005737, GO:0005829, GO:0051289, GO:0008340
PAVE1_DN67000_c0_g1_i1.p1	GO:0007249, GO:0005515, GO:0006915, GO:0005634, GO:0043066
PAVE1_DN74528_c0_g1_i1.p1	GO:0045197, GO:0004758, GO:0046512, GO:0046513, GO:0030170, GO:0005783
PAVE1_DN676_c1_g1_i1.p1	GO:0048511, GO:0005515, GO:0042754, GO:0005654, GO:0005634, GO:0005737, GO:0005829, GO:0005730, GO:0045892
PAVE1_DN8481_c0_g1_i1.p1	GO:0016021, GO:0009636, GO:0006486, GO:0016051, GO:0005794, GO:0045747, GO:0000139, GO:0008375, GO:0042661
PAVE1_DN70227_c0_g1_i1.p1	GO:0016021, GO:0030148, GO:0006486, GO:0005794, GO:0007420, GO:0000139, GO:0008457, GO:0047256, GO:0007417
PAVE1_DN74501_c0_g1_i1.p1	GO:0010526, GO:0032196, GO:0005634, GO:0005737, GO:0005200
PAVE1_DN5972_c2_g1_i1.p1	GO:0050851, GO:0035556, GO:0019901, GO:0050868, GO:0043407, GO:0016021, GO:0042169, GO:0045121, GO:0005794, GO:0005829, GO:0005886, GO:0042113, GO:0002250
PAVE1_DN719_c2_g2_i1.p1	GO:0046872, GO:0004674, GO:0016310, GO:0106310, GO:0030688, GO:0005634, GO:0042254, GO:0005737, GO:0005829, GO:0016787, GO:0005524, GO:0000462, GO:0004712
PAVE1_DN30013_c0_g1_i1.p1	GO:0000781, GO:0001740, GO:0009048, GO:0005634, GO:0016363, GO:0042974, GO:0006355
PAVE1_DN67959_c0_g1_i1.p1	GO:0016021, GO:0007283, GO:0039660, GO:0030154, GO:0016020, GO:0003723
PAVE1_DN56384_c0_g1_i1.p1	GO:0005634, GO:0051321, GO:0005737, GO:0016887, GO:0005829, GO:0000166, GO:0000287, GO:0003723
PAVE1_DN12487_c0_g1_i1.p1	GO:0005515, GO:0005634, GO:0005829, GO:0032991, GO:0039644, GO:1904855
PAVE1_DN61918_c0_g1_i1.p1	GO:0004518, GO:0051276, GO:0042025, GO:0003677, GO:0090305, GO:0019076
PAVE1_DN38251_c0_g1_i1.p1	GO:0033162, GO:0046872, GO:0016021, GO:0005515, GO:0006979, GO:0045087, GO:0004497, GO:0031410, GO:0098869, GO:0010629, GO:0008340, GO:0050830
PAVE1_DN79153_c0_g1_i1.p1	GO:0000812, GO:0005634, GO:0043621, GO:0000785, GO:0003677, GO:0006338, GO:0006355
PAVE1_DN37266_c0_g1_i1.p1	GO:0031624, GO:0007338, GO:0007162, GO:0043160, GO:0043130, GO:0005576, GO:0001669
PAVE1_DN28260_c0_g1_i1.p1	GO:0019028, GO:0046872, GO:0019058, GO:0039580, GO:0039502, GO:0043086, GO:0030683, GO:0005198, GO:0030291, GO:0039624, GO:0003723
PAVE1_DN21056_c1_g2_i1.p1	GO:0003924, GO:0005515, GO:0016021, GO:0016020, GO:0060090, GO:0007059
PAVE1_DN31_c0_g1_i5.p1	GO:0015812, GO:0043005, GO:0006836, GO:0015199, GO:0015838, GO:0035725, GO:0005886, GO:0005332, GO:0005887
PAVE1_DN17917_c0_g1_i1.p1	GO:0051224, GO:0051493, GO:0046740, GO:0005634, GO:0008017, GO:0006952, GO:0010497, GO:0002230, GO:0003723
PAVE1_DN2986_c0_g3_i1.p1	GO:0045050, GO:0005789, GO:0072546, GO:0071816, GO:0005783, GO:0030176, GO:0032977
PAVE1_DN3775_c0_g1_i2.p1	GO:0000781, GO:0031509, GO:0033255, GO:0016573, GO:0004402, GO:0005515, GO:0005634, GO:0000785
PAVE1_DN2305_c0_g1_i1.p1	GO:0097228, GO:0007288, GO:0005515, GO:0001669, GO:0097728, GO:0036126
PAVE1_DN22004_c0_g1_i1.p1	GO:0005829, GO:0008720, GO:0051287, GO:0006564
PAVE1_DN297_c4_g3_i1.p1	GO:0032259, GO:0005829, GO:0055120, GO:0008112, GO:0005863
PAVE1_DN12015_c0_g2_i1.p1	GO:0008289, GO:0015909, GO:0005737, GO:0006631, GO:0098856
PAVE1_DN15801_c0_g1_i3.p1	GO:0046974, GO:0008270, GO:0005634, GO:0030154, GO:0051567, GO:0007049, GO:0006325, GO:0005694, GO:0000775
PAVE1_DN58845_c0_g1_i2.p1	GO:0007160, GO:0030055, GO:0050829, GO:0048738, GO:0005737, GO:0007229, GO:0048513, GO:0005178
PAVE1_DN12256_c0_g1_i1.p1	GO:0008568, GO:0005634, GO:0051013, GO:0005737, GO:0048471, GO:0016887, GO:0000228, GO:0005524, GO:0046034, GO:0000287
PAVE1_DN77742_c0_g1_i1.p1	GO:0046872, GO:0017158, GO:0009410, GO:0030658, GO:0031267, GO:0030274, GO:0030667, GO:0005737, GO:0042593, GO:0045744, GO:0030141, GO:0032024, GO:0006887, GO:0006886
PAVE1_DN24807_c0_g2_i1.p1	GO:0016021, GO:0007283, GO:0030154, GO:0005794, GO:0005789, GO:0005737, GO:0051400, GO:0000139, GO:0005783, GO:0044877
PAVE1_DN76231_c0_g1_i1.p1	GO:0005654, GO:0006915, GO:0005634, GO:0016020, GO:0007165, GO:0005737, GO:0005829, GO:0007049, GO:0034080, GO:0008022, GO:0051301, GO:0005694, GO:0000775, GO:0007155, GO:0000776, GO:0006355
PAVE1_DN70356_c0_g1_i1.p1	GO:0051286, GO:0005515, GO:0050790, GO:1905758, GO:0031031, GO:0005829, GO:0007049, GO:0051301, GO:0032153, GO:0031097, GO:0051285, GO:0005096
PAVE1_DN20097_c0_g1_i2.p2	GO:0009507, GO:0046872, GO:0005515, GO:0030435
PAVE1_DN68488_c0_g1_i1.p1	GO:0005634, GO:0046872, GO:0030100
PAVE1_DN1249_c0_g1_i7.p1	GO:0016021, GO:0005515, GO:0061028, GO:0016020, GO:0008347, GO:0090528
PAVE1_DN6914_c0_g1_i2.p1	GO:0046872, GO:0005634, GO:0007224, GO:0005737, GO:0000981, GO:0000978, GO:0005929, GO:0045893, GO:1990841, GO:0006357
PAVE1_DN948_c0_g1_i1.p3	GO:0016020, GO:0031424, GO:0016298, GO:0045109
PAVE1_DN58397_c0_g1_i1.p1	GO:0016021, GO:1900060, GO:0035339, GO:0005515, GO:0005789, GO:0006672, GO:0090156, GO:0005783
PAVE1_DN2053_c0_g1_i3.p1	GO:0005700, GO:0046872, GO:0043035, GO:0005515, GO:1990188, GO:0003700, GO:0005634, GO:0033696, GO:0000785, GO:1905632, GO:0045892, GO:0000978, GO:0035075, GO:0006357
PAVE1_DN70760_c0_g1_i1.p1	GO:0046872, GO:0003678, GO:0033683, GO:0005515, GO:0000717, GO:0005634, GO:0009408, GO:0006366, GO:0045951, GO:0016887, GO:0009411, GO:0005524, GO:0051539, GO:0003684, GO:0006289
PAVE1_DN27413_c0_g1_i1.p1	GO:0005262, GO:0016021, GO:0016020, GO:0005509, GO:0050982, GO:0070588
PAVE1_DN2807_c0_g1_i2.p1	GO:0005515, GO:0005634, GO:0034584, GO:0017053, GO:0031047
PAVE1_DN26339_c0_g1_i1.p1	GO:0106310, GO:0004674, GO:0035556, GO:0030430, GO:0005524, GO:0004712, GO:0018105
PAVE1_DN39106_c0_g1_i1.p1	GO:0015078, GO:0046740, GO:0016021, GO:0016020, GO:0005216, GO:0020002
PAVE1_DN35880_c0_g1_i1.p1	GO:0039644, GO:1902554, GO:0003677
PAVE1_DN3536_c0_g1_i2.p1	GO:0042995, GO:0006605, GO:0005938, GO:0008360, GO:0007264, GO:0005856, GO:0019901, GO:0007163, GO:0051893, GO:0005769, GO:0005525, GO:0016477, GO:0030335, GO:0030032, GO:0005886, GO:0045785, GO:0048041, GO:0003924, GO:2000249, GO:0030865, GO:0051017
PAVE1_DN66818_c0_g1_i1.p2	GO:0009507, GO:0005125, GO:0042144
PAVE1_DN4209_c0_g1_i2.p1	GO:0008305, GO:0007160, GO:0016021, GO:0016020, GO:0033627, GO:0001555, GO:0007229, GO:0046982, GO:0005178, GO:0009897, GO:0007157
PAVE1_DN4531_c0_g2_i3.p1	GO:0003682, GO:0016607, GO:0005654, GO:0005634, GO:0006325, GO:0072487, GO:0043984
PAVE1_DN41268_c0_g1_i1.p1	GO:0005634, GO:0005737, GO:0044782, GO:0005886, GO:0005249, GO:0060322
PAVE1_DN77374_c0_g1_i1.p1	GO:0005856, GO:0031514, GO:0001725, GO:0042802, GO:0030036, GO:0005737, GO:0060071, GO:0036064, GO:0005829, GO:0005886, GO:0003779, GO:0031267
PAVE1_DN2204_c1_g3_i2.p1	GO:0007249, GO:0050832, GO:0005654, GO:0048935, GO:0005634, GO:0045944, GO:0038061, GO:0007399, GO:0001228, GO:0034097, GO:0005737, GO:0050830, GO:0005515, GO:0035206, GO:0035070, GO:0002804, GO:0000978, GO:0045087, GO:0005829, GO:0008063
PAVE1_DN81737_c0_g1_i2.p1	GO:0106310, GO:0004674, GO:1902554, GO:0003779, GO:0005524, GO:0039644, GO:0004712
PAVE1_DN2083_c1_g1_i4.p1	GO:0005634, GO:0010629, GO:0005515, GO:0005829
PAVE1_DN68470_c0_g1_i1.p1	GO:0016575, GO:0005667, GO:0000118, GO:0005634, GO:0003714, GO:0045892, GO:0006357
PAVE1_DN1952_c0_g1_i4.p1	GO:0015293, GO:0009636, GO:0032328, GO:0015837, GO:0005275, GO:0022858, GO:0035725, GO:0089718, GO:0031526, GO:0005887
