DRYU1_DN6430_c0_g1_i3.p1	GO:0006355, GO:0005634, GO:0003700
DRYU1_DN30444_c0_g1_i1.p1	GO:0048680, GO:0031434, GO:0010038, GO:0007169, GO:0005737, GO:0005634, GO:0031435, GO:0005159, GO:0005886, GO:0033674, GO:0034976, GO:0030971
DRYU1_DN27580_c0_g2_i1.p1	GO:0005829, GO:0070682, GO:0005634, GO:0005515, GO:1904855
DRYU1_DN3060_c0_g1_i1.p1	GO:0030154, GO:0005856, GO:0007288, GO:0005737, GO:0031514, GO:0007286, GO:0036064, GO:0005516, GO:0007283
DRYU1_DN4405_c0_g1_i1.p1	GO:0006486, GO:0016021, GO:0032580, GO:0016757, GO:0005794
DRYU1_DN30462_c0_g1_i1.p1	GO:0044167, GO:0044165, GO:0004712, GO:0030683, GO:0005524, GO:0016021, GO:0004674, GO:0016020, GO:0106310
DRYU1_DN9663_c0_g1_i1.p1	GO:0016021, GO:0005244, GO:0005886, GO:0005248, GO:0035725, GO:0034765, GO:0001518
DRYU1_DN10536_c0_g1_i1.p1	GO:0000915, GO:0000281, GO:0005515, GO:0005826, GO:0031106
DRYU1_DN31980_c0_g1_i1.p1	GO:0005198, GO:0030430, GO:0046797
DRYU1_DN31887_c0_g1_i1.p1	GO:0000782, GO:0005694, GO:0005634, GO:0000781, GO:0005515, GO:0016032, GO:0000775
DRYU1_DN17594_c0_g1_i1.p1	GO:0030659, GO:0050830, GO:0070700, GO:0016021, GO:0045335, GO:0050829, GO:0045087, GO:0035915
DRYU1_DN17109_c0_g1_i2.p1	GO:1990481, GO:0031119, GO:0005737, GO:0005634, GO:0106029, GO:0003723
DRYU1_DN12804_c0_g1_i1.p1	GO:0046777, GO:0005737, GO:2000145, GO:0046940, GO:0005515, GO:0018117, GO:0004017
DRYU1_DN26336_c0_g1_i1.p1	GO:0005154, GO:0005576, GO:0016021, GO:0033644, GO:0007176, GO:0008083, GO:0016020, GO:0007165
DRYU1_DN7556_c0_g1_i1.p1	GO:0031929, GO:0005737, GO:0045335, GO:0005634, GO:0043555, GO:0003723
DRYU1_DN7102_c0_g1_i8.p1	GO:0016208, GO:0005829, GO:0005524, GO:0003987, GO:0046872, GO:0019427
DRYU1_DN9228_c0_g2_i1.p1	GO:0005856, GO:0051301, GO:0005829, GO:0000070, GO:0005694, GO:0005737, GO:0034506, GO:0098654, GO:0005654, GO:0000775, GO:0005515, GO:0005816, GO:0007049
DRYU1_DN9196_c0_g1_i2.p1	GO:0016021, GO:0008645, GO:0015149, GO:0005886
DRYU1_DN33464_c0_g1_i1.p1	GO:0050660, GO:0019285, GO:0005829, GO:0009274, GO:0016614, GO:0005886
DRYU1_DN7187_c0_g1_i1.p1	GO:0005737, GO:0071704, GO:0008270, GO:0044238
DRYU1_DN26852_c0_g1_i1.p1	GO:0051301, GO:0000070, GO:0051382, GO:0030430, GO:0003677, GO:0007049
DRYU1_DN35218_c0_g1_i1.p1	GO:0006979, GO:0005737, GO:0005524, GO:0030490, GO:0005634, GO:0046940, GO:0016887, GO:0016310, GO:0004017
DRYU1_DN8717_c0_g1_i1.p1	GO:0045143, GO:0000776, GO:0005634, GO:0005515, GO:0033551, GO:0051455, GO:0045859, GO:0051321, GO:0010789
DRYU1_DN138_c1_g1_i1.p1	GO:0031462, GO:0016567, GO:0008270, GO:1990756, GO:2000627
DRYU1_DN19457_c0_g1_i1.p1	GO:0034987, GO:0031210, GO:0065003, GO:0003697, GO:0071757, GO:0001895, GO:0019862, GO:0071756, GO:0042803, GO:0030674, GO:0002250, GO:0042834, GO:0070062, GO:0071748, GO:0005576, GO:0019731, GO:0003823, GO:0060267, GO:0072562, GO:0045087, GO:0071752, GO:0005615, GO:0003094
DRYU1_DN5840_c0_g1_i1.p1	GO:0030447, GO:0016021, GO:0008320, GO:0005515, GO:0031204, GO:0005783, GO:0071944, GO:0030867, GO:0071256, GO:0031207
DRYU1_DN18803_c0_g1_i1.p1	GO:0016021, GO:0033644, GO:0042025, GO:0016020, GO:0016874, GO:0000398, GO:0000388
DRYU1_DN5827_c0_g1_i6.p1	GO:0051056, GO:0043547, GO:0045179, GO:0005515, GO:0034260, GO:0005886, GO:0030833, GO:0008284, GO:0030054, GO:0005096, GO:0007165
DRYU1_DN4075_c0_g1_i1.p1	GO:0030659, GO:0010918, GO:0009409, GO:0010628, GO:0031410, GO:0016021, GO:0008340, GO:0005737, GO:0032094, GO:0005515, GO:0010884, GO:0005811
DRYU1_DN5765_c0_g1_i1.p1	GO:0005737, GO:0006914, GO:0005764, GO:0005096, GO:0048471
DRYU1_DN5810_c0_g1_i2.p1	GO:0003779, GO:0097542, GO:0016477, GO:0046847, GO:0005886, GO:0016324, GO:1990716, GO:0030032, GO:0005737, GO:0005902, GO:0030027, GO:0097729, GO:0005856, GO:0008017, GO:0007026, GO:0001578, GO:0030175, GO:0016323, GO:0005930, GO:0060548, GO:0003341, GO:0005874, GO:2000095, GO:1904158
DRYU1_DN18333_c0_g1_i1.p1	GO:0007323, GO:0080120, GO:0071586, GO:0005783, GO:0030176, GO:0004222, GO:0005789
DRYU1_DN12305_c0_g2_i1.p1	GO:0005737, GO:0005524, GO:0006468, GO:0004672, GO:0006409, GO:0005794
DRYU1_DN5576_c0_g2_i2.p1	GO:0030154, GO:0008494, GO:0005737, GO:0005634, GO:0045948, GO:0003730, GO:0005515, GO:0070935, GO:0032991, GO:0007283
DRYU1_DN1334_c0_g3_i1.p1	GO:0016021, GO:0061709, GO:0030674, GO:0005515, GO:0005783, GO:0097038, GO:0044804, GO:0034045, GO:0005789
DRYU1_DN16204_c0_g1_i2.p1	GO:0005737, GO:0042802, GO:0005634, GO:0045190, GO:0043186
DRYU1_DN21476_c0_g1_i1.p1	GO:0005576, GO:0030683, GO:0039502, GO:0060333, GO:0004896
DRYU1_DN11152_c0_g1_i1.p1	GO:0016021, GO:0047429, GO:0004551, GO:0016020, GO:0017111, GO:0009141
DRYU1_DN11303_c0_g2_i1.p1	GO:0005737, GO:0005634, GO:0061630, GO:0009060
DRYU1_DN32038_c0_g1_i1.p1	GO:0016021, GO:0000981, GO:0003677, GO:0006357, GO:0016020
DRYU1_DN7777_c0_g2_i3.p1	GO:0005634, GO:0003677, GO:0006310, GO:0015074
DRYU1_DN5367_c0_g1_i1.p1	GO:0005730, GO:0005737, GO:0070478, GO:0003729, GO:0005634, GO:0045727
DRYU1_DN7310_c0_g1_i2.p1	GO:0006154, GO:0005829, GO:0005739, GO:0009117, GO:0005634, GO:0062154, GO:0046872, GO:0046103, GO:0004000
DRYU1_DN5427_c0_g1_i6.p1	GO:0004712, GO:0005737, GO:0007005, GO:0005524, GO:0004674, GO:0005515, GO:0046872, GO:0106310
DRYU1_DN25586_c0_g1_i1.p1	GO:0003964, GO:0004519, GO:0090305, GO:0030430, GO:0042025, GO:0046872, GO:0006278
DRYU1_DN4521_c0_g1_i1.p1	GO:2000130, GO:0007618, GO:0019953, GO:0016021, GO:0042802, GO:0007610, GO:0060279, GO:0016020
DRYU1_DN32417_c0_g1_i1.p1	GO:0005739, GO:0005762, GO:0070126, GO:0016150, GO:0005743, GO:0004045, GO:0051321
DRYU1_DN6731_c0_g1_i12.p1	GO:0030705, GO:0005929, GO:0050775, GO:1904491, GO:0008017, GO:0003391, GO:1903861, GO:0051959, GO:1903566, GO:1905349, GO:0097546, GO:0031122, GO:0045724
DRYU1_DN31565_c0_g1_i1.p1	GO:0005918, GO:0016021, GO:0005515, GO:0005886, GO:0016327, GO:0019991
DRYU1_DN7859_c0_g1_i2.p1	GO:0003723, GO:0030430, GO:0007049, GO:0006260
DRYU1_DN18420_c0_g1_i1.p1	GO:0007264, GO:0050790, GO:0071555, GO:0005737, GO:0005515, GO:0005096
DRYU1_DN3465_c1_g2_i2.p1	GO:0004712, GO:0005524, GO:0005634, GO:0004674, GO:0006468, GO:0106310, GO:0051321
DRYU1_DN16383_c0_g1_i1.p1	GO:0005737, GO:0046782, GO:0005515, GO:0039695, GO:0046872
DRYU1_DN6793_c0_g1_i1.p1	GO:0005856, GO:0005737, GO:0005515, GO:0005886, GO:0016192, GO:1905515, GO:0007163
DRYU1_DN25994_c0_g1_i1.p1	GO:0005576, GO:0006154, GO:0005829, GO:0009117, GO:0062154, GO:0046872, GO:0046103, GO:0004000
DRYU1_DN19886_c0_g1_i1.p1	GO:0006612, GO:0039660, GO:0019031, GO:0033645, GO:0016020, GO:0055036
DRYU1_DN10639_c0_g1_i2.p1	GO:0005739, GO:0019904, GO:0005737, GO:0005543, GO:0034315, GO:0032588, GO:0006886
DRYU1_DN300_c0_g1_i15.p2	GO:0031528, GO:0005737, GO:0016021, GO:1990264, GO:0005902, GO:0005886, GO:0016324, GO:0008270
DRYU1_DN29877_c0_g1_i1.p1	GO:0006457, GO:0000413, GO:0071013, GO:0003755
DRYU1_DN35894_c0_g1_i1.p1	GO:0005628, GO:0005515, GO:0006368, GO:0006303, GO:0006337
DRYU1_DN2634_c0_g1_i9.p1	GO:0005730, GO:0030515, GO:0005634, GO:0032040, GO:0042254, GO:0031428
DRYU1_DN4245_c0_g1_i1.p1	GO:0005737, GO:0005634, GO:0090503, GO:0004535, GO:0046872, GO:0003723
DRYU1_DN15604_c0_g1_i1.p1	GO:0015459, GO:0008076, GO:0005887, GO:0015269, GO:0019228, GO:0016020, GO:0071805, GO:0005513
DRYU1_DN10531_c0_g1_i2.p1	GO:0043565, GO:0006265, GO:0000722, GO:0000781, GO:0003697, GO:0035861, GO:0005662, GO:0030491, GO:0045184, GO:0007131, GO:0006268, GO:0006260, GO:0005634, GO:0016567, GO:0003690, GO:0007004, GO:0000724, GO:0006289, GO:0005515, GO:0000794
DRYU1_DN24421_c0_g1_i1.p1	GO:1902742, GO:0097194, GO:0016021, GO:0005783, GO:0009792, GO:0017128, GO:0016020, GO:0070782, GO:0043652
DRYU1_DN1187_c0_g1_i4.p1	GO:0071902, GO:0035332, GO:0045926, GO:0005912, GO:0005886, GO:0005515, GO:0016324
DRYU1_DN12846_c0_g1_i1.p1	GO:0006511, GO:0005856, GO:0005829, GO:0005737, GO:0004842, GO:0030178, GO:0007369, GO:0016567, GO:0046872
