NYGR1_DN1492_c0_g1_i2.p1	GO:0004364, GO:0006749, GO:0005737
NYGR1_DN40839_c0_g1_i1.p1	GO:0031047, GO:0031048, GO:0031380, GO:0005524, GO:0003723, GO:0007059, GO:0007049, GO:0003724, GO:0031508, GO:0005829, GO:0005515, GO:0016887, GO:0005634, GO:0005737
NYGR1_DN4071_c2_g4_i3.p1	GO:0005576, GO:0006949, GO:0005886, GO:0005515, GO:0005615
NYGR1_DN17222_c0_g1_i1.p1	GO:0006915, GO:0017134, GO:0043066, GO:0005634, GO:0005737
NYGR1_DN32814_c0_g1_i1.p2	GO:0000979, GO:0003713, GO:0070847, GO:0051123, GO:0016592, GO:0006369, GO:0005515, GO:0001113, GO:0032968, GO:0005634, GO:0060261
NYGR1_DN29854_c0_g1_i1.p1	GO:0090363, GO:0043248, GO:0006974, GO:0006511, GO:0005515, GO:0005634, GO:0005737
NYGR1_DN32829_c0_g1_i1.p1	GO:0005856, GO:0003779, GO:0001725, GO:0005865, GO:0031032, GO:0031674, GO:0005737
NYGR1_DN1802_c0_g1_i1.p1	GO:0005694, GO:0005654, GO:0042585, GO:0000775, GO:0003677, GO:0006336, GO:0035042, GO:0007143, GO:0000776, GO:0001940
NYGR1_DN26019_c0_g1_i1.p1	GO:0031625, GO:0005819, GO:0007049, GO:0008284, GO:0006511, GO:0000776, GO:0019901, GO:0045860, GO:0005634, GO:0000082
NYGR1_DN9733_c0_g1_i2.p1	GO:0005739, GO:0003995, GO:0006550, GO:0047119, GO:0006631, GO:0102035, GO:0050660
NYGR1_DN18074_c0_g1_i1.p1	GO:0005516, GO:0017022, GO:0003779, GO:0015629, GO:0051017, GO:0001525, GO:0030016, GO:0005737
NYGR1_DN49978_c0_g1_i1.p1	GO:0061809, GO:0050135, GO:0002020, GO:0046466, GO:0005576, GO:0019966, GO:0005161, GO:0035255, GO:0001675, GO:0001669, GO:0032922, GO:0002199, GO:0004909, GO:0006665, GO:0007339, GO:0044297, GO:0002638
NYGR1_DN10311_c0_g1_i1.p1	GO:0071277, GO:0030154, GO:0017158, GO:0046872, GO:0014059, GO:0005634, GO:0017156
NYGR1_DN45422_c0_g1_i1.p1	GO:0007635, GO:0050913, GO:0005829, GO:0009968, GO:0050790, GO:0005096, GO:0005737
NYGR1_DN38256_c0_g1_i1.p1	GO:0005856, GO:0005929, GO:0036064, GO:0005515, GO:0060271, GO:0005814, GO:0005737
NYGR1_DN25591_c0_g1_i1.p1	GO:0001580, GO:0006508, GO:0005576, GO:0005634, GO:0005615, GO:0004190, GO:0002682, GO:0019864, GO:0042802, GO:0010628, GO:0070233
NYGR1_DN6562_c0_g5_i1.p1	GO:0050804, GO:0016020, GO:0035235, GO:0060078, GO:0034220, GO:0035249, GO:0016021, GO:1904315, GO:0015277
NYGR1_DN16133_c0_g1_i1.p1	GO:0000122, GO:0040029, GO:0005654, GO:0043231, GO:0005925, GO:0005829, GO:0005886, GO:0005730, GO:0005515, GO:0005737
NYGR1_DN1817_c0_g1_i2.p1	GO:0001933, GO:0098780, GO:0000423, GO:0005829, GO:0000421, GO:0005783, GO:0045022, GO:0043552, GO:0005737, GO:0097629, GO:0005789, GO:0000045, GO:0044233, GO:0045335, GO:0001934, GO:0035032, GO:0051020, GO:0034045, GO:0090207, GO:0097632, GO:0005930, GO:0006622, GO:0006468, GO:0016241, GO:0010608, GO:0097352, GO:0016240, GO:0042149, GO:0005776, GO:0008333, GO:0036092
NYGR1_DN1224_c0_g1_i5.p1	GO:0005856, GO:0030154, GO:0007283, GO:0005515, GO:0005737
NYGR1_DN13181_c0_g1_i2.p1	GO:0071013, GO:0003725, GO:0003677, GO:0045893, GO:0071011, GO:0005730, GO:0000398, GO:0005634
NYGR1_DN49888_c0_g1_i1.p1	GO:0005783, GO:0004579, GO:0006487, GO:0005737
NYGR1_DN7162_c0_g2_i6.p2	GO:0051321, GO:0005515, GO:0005739
NYGR1_DN45617_c0_g1_i1.p1	GO:0003723, GO:0034454, GO:0060271, GO:0097712, GO:0005634
NYGR1_DN5510_c0_g1_i1.p1	GO:0005856, GO:1990498, GO:0005819, GO:1901673, GO:0048471, GO:0005515, GO:0008361, GO:0050773, GO:0031116, GO:0051298, GO:0008270, GO:0005634, GO:0005737
NYGR1_DN26209_c0_g1_i1.p1	GO:0005694, GO:0000782, GO:0000781, GO:0000775, GO:0016233, GO:0005515, GO:0005634
NYGR1_DN48770_c0_g1_i1.p1	GO:0006357, GO:2001229, GO:0009948, GO:0005704, GO:0045892, GO:0003682, GO:0043565, GO:0035064, GO:0007419, GO:0031507, GO:0016322, GO:0005730, GO:0042060, GO:0000785, GO:0035102, GO:0005700, GO:0005634, GO:0007385, GO:0035186, GO:0022008
NYGR1_DN25584_c0_g1_i1.p1	GO:0090305, GO:0005515, GO:0016180, GO:0004518, GO:0006397, GO:0005634, GO:0010197
NYGR1_DN1999_c0_g1_i2.p1	GO:0006376, GO:0003723, GO:0009792, GO:0005515, GO:0000380, GO:0016607, GO:0005634
NYGR1_DN5976_c0_g1_i3.p1	GO:0016021, GO:0016020, GO:0007160, GO:0005509
NYGR1_DN14072_c0_g1_i1.p1	GO:0006777, GO:0005524, GO:0005829, GO:0061598
NYGR1_DN39115_c0_g1_i1.p1	GO:0015031, GO:0034045, GO:0006914, GO:0008017
NYGR1_DN321_c0_g1_i2.p2	GO:0003899, GO:0005829, GO:0006383, GO:0005634, GO:0005666, GO:0005737
