ECRY2_DN0_c0_g12446_i1.p1	GO:0017018, GO:0006470, GO:0005634
ECRY2_DN0_c0_g10184_i1.p1	GO:0051493, GO:0008017, GO:0001578, GO:0048471, GO:0005737, GO:0006508, GO:0004198, GO:0005876, GO:0005819, GO:0005856
ECRY2_DN0_c0_g11580_i1.p1	GO:0035262, GO:0045892, GO:0008283, GO:0048731, GO:0097380, GO:0005634, GO:0046872, GO:0000981, GO:0000977, GO:0030182, GO:0008585, GO:0008584, GO:0006357
ECRY2_DN0_c0_g15848_i1.p1	GO:0030424, GO:0072659, GO:0030425, GO:0071333, GO:0007215, GO:0045211, GO:0006887, GO:0071805, GO:1900454, GO:0090314, GO:0032809, GO:0046982, GO:0031669, GO:0043204, GO:0016021, GO:0042383, GO:0001508, GO:0008076, GO:0006904, GO:0005251, GO:0098900, GO:0010701, GO:0051260, GO:0046676, GO:0045956, GO:2000671, GO:0045202, GO:0016328, GO:0034765
ECRY2_DN0_c0_g5399_i1.p1	GO:0005739, GO:0006123, GO:0016021, GO:0005515, GO:0005751, GO:0006119, GO:0005743
ECRY2_DN0_c0_g10811_i1.p1	GO:0005739, GO:0005840, GO:0005759, GO:0003735, GO:0032543, GO:0005763, GO:0005743
ECRY2_DN0_c0_g3477_i1.p1	GO:0061966, GO:0003341, GO:0035082, GO:0071494, GO:0005515, GO:0005737, GO:0005879, GO:0005634, GO:0010468, GO:0006974
ECRY2_DN0_c0_g3472_i1.p1	GO:1904668, GO:0007096, GO:0072686, GO:0000922, GO:0005515, GO:0005634, GO:0005730, GO:0005813, GO:0005654, GO:0060271, GO:0006281, GO:0006470, GO:0005737, GO:0032467, GO:0004725, GO:0008138, GO:0017018, GO:0000226, GO:0007095
ECRY2_DN0_c0_g9750_i1.p1	GO:0032528, GO:0031283, GO:0005886, GO:0016021, GO:0045202, GO:0055075, GO:1902476, GO:0016324, GO:0015379, GO:0055064, GO:0007268, GO:0006884, GO:1990573
ECRY2_DN0_c0_g7976_i1.p1	GO:0006355, GO:0005737, GO:0005634, GO:0003700, GO:0003677
ECRY2_DN0_c0_g12866_i1.p1	GO:0016706, GO:0008344, GO:0002940, GO:0005737
ECRY2_DN0_c0_g6164_i1.p1	GO:0006508, GO:0005576, GO:0004252, GO:0005615
ECRY2_DN0_c0_g5768_i1.p1	GO:0072487, GO:0000228, GO:0003682, GO:0043984, GO:0005634, GO:0006325, GO:0009047, GO:0031625, GO:0000976, GO:0016456
ECRY2_DN0_c0_g3834_i1.p1	GO:0030674, GO:0005794, GO:0005886, GO:0070064, GO:0016021, GO:0042802, GO:0005737, GO:0045202, GO:0008021, GO:0016192, GO:0008022
ECRY2_DN0_c0_g8677_i1.p1	GO:0045869, GO:1990226, GO:0090309, GO:0042393, GO:0005634, GO:0000930
ECRY2_DN0_c0_g5931_i1.p1	GO:0005794, GO:0005484, GO:0000139, GO:0031201, GO:0030285, GO:0042147, GO:0005783, GO:0031985, GO:0005737, GO:0006906, GO:0005829, GO:0048471, GO:0005802, GO:0090161, GO:0048278, GO:0006886, GO:0019905, GO:0012505
ECRY2_DN0_c0_g3197_i1.p1	GO:0007165, GO:0015631, GO:0005829, GO:0005737, GO:0003779, GO:0070840
ECRY2_DN0_c0_g4324_i1.p1	GO:0010526, GO:0005737, GO:0032196, GO:0005634, GO:0003712
ECRY2_DN0_c0_g2433_i1.p1	GO:0043130, GO:0043161, GO:0005737, GO:0005634
ECRY2_DN0_c0_g13327_i1.p1	GO:0005794, GO:0000139, GO:0016021, GO:0046872, GO:0018243, GO:0030246, GO:0004653
ECRY2_DN0_c0_g8886_i1.p1	GO:0097228, GO:0004222, GO:0008270, GO:0036128, GO:0006508
ECRY2_DN0_c0_g5231_i1.p1	GO:0006384, GO:0000995, GO:0043035, GO:0005737, GO:0005829, GO:0000127, GO:0005634
ECRY2_DN0_c0_g14957_i1.p1	GO:0040011, GO:0060279, GO:0008092, GO:0017124, GO:0030016, GO:0019901, GO:0005737, GO:0030241, GO:0032982, GO:0060298, GO:0016459
ECRY2_DN0_c0_g3979_i1.p1	GO:0090502, GO:0005515, GO:0005829, GO:0005737, GO:0071032, GO:0005634, GO:0010467
ECRY2_DN0_c0_g14454_i1.p1	GO:0005886, GO:0000045, GO:0005525, GO:0003924, GO:0006886, GO:0012505
